Chip:
Project,Product,Customer,Value,
CTRL,NX1,Broadcom,57766_A1,
CTRL,NX1,Broadcom,57766_B0,
CTRL,NX1,Broadcom,57766_C0,
CTRL,NX1,Broadcom,57767_A0,
CTRL,NX1,Broadcom,57767_A1,
CTRL,NX1,Broadcom,57767_B0,
CTRL,NX1,Broadcom,57780,
CTRL,NX1,Broadcom,57780_A0,
CTRL,NX1,Broadcom,57780_A1,
CTRL,NX1,Broadcom,57780_B0,
CTRL,NX1,Broadcom,57781_A0,
CTRL,NX1,Broadcom,57781_A1,
CTRL,NX1,Broadcom,57781_B0,
CTRL,NX1,Broadcom,57782_A0,
CTRL,NX1,Broadcom,57782_A1,
CTRL,NX1,Broadcom,57785,
CTRL,NX1,Broadcom,57785_A0,
CTRL,NX1,Broadcom,57785_A1,
CTRL,NX1,Broadcom,57785_B0,
CTRL,NX1,Broadcom,57785_B1,
CTRL,NX1,Broadcom,57785_E0,
CTRL,NX1,Broadcom,57786x_A0,
CTRL,NX1,Broadcom,57786x_A1,
CTRL,NX1,Broadcom,57786x_B0,
CTRL,NX1,Broadcom,57786x_C0,
CTRL,NX1,Broadcom,57787_A0,
CTRL,NX1,Broadcom,57787_B0,
CTRL,NX1,Broadcom,57788_A1,
CTRL,NX1,Broadcom,57788_B0,
CTRL,NX1,Broadcom,57790_A0,
CTRL,NX1,Broadcom,57790_A1,
CTRL,NX1,Broadcom,57790_A2,
CTRL,NX1,Broadcom,57791,
CTRL,NX1,Broadcom,57795_A0,
CTRL,NX1,Broadcom,5782_A1,
CTRL,NX1,Broadcom,5782_A2,
CTRL,NX1,Broadcom,5782_A3,
CTRL,NX1,Broadcom,5784M,
CTRL,NX1,Broadcom,5784M_A0,
CTRL,NX1,Broadcom,5784M_A1,
CTRL,NX1,Broadcom,5784M_A2,
CTRL,NX1,Broadcom,5784M_B0,
CTRL,NX1,Broadcom,5785,
CTRL,NX1,Broadcom,5785_A0,
CTRL,NX1,Broadcom,5785_A1,
CTRL,NX1,Broadcom,5785_B0,
CTRL,NX1,Broadcom,5786,
CTRL,NX1,Broadcom,5786_A0,
CTRL,NX1,Broadcom,5786_A2,
CTRL,NX1,Broadcom,5786_A3,
CTRL,NX1,Broadcom,5787,
CTRL,NX1,Broadcom,5787F_A2,
CTRL,NX1,Broadcom,5787M,
CTRL,NX1,Broadcom,5787M_A1,
CTRL,NX1,Broadcom,5787M_A2,
CTRL,NX1,Broadcom,5787_A0,
CTRL,NX1,Broadcom,5787_A1,
CTRL,NX1,Broadcom,5787_A2,
CTRL,NX1,Broadcom,5788,
CTRL,NX1,Broadcom,5788_A1,
CTRL,NX1,Broadcom,5788_A3,
CTRL,NX1,Broadcom,5788_A5,
CTRL,NX1,Broadcom,5788_B0,
CTRL,NX1,Broadcom,5789,
CTRL,NX1,Broadcom,5789_B0,
CTRL,NX1,Broadcom,5789_B1,
CTRL,NX1,Broadcom,5789_C0,
CTRL,NX1,Broadcom,5789_C1,
CTRL,NX1,Broadcom,5901_A0,
CTRL,NX1,Broadcom,5901_A1,
CTRL,NX1,Broadcom,5903M_C2,
CTRL,NX1,Broadcom,5906,
CTRL,NX1,Broadcom,5906M,
CTRL,NX1,Broadcom,5906M_A0,
CTRL,NX1,Broadcom,5906M_A1,
CTRL,NX1,Broadcom,5906M_A2,
CTRL,NX1,Broadcom,5906M_B2,
CTRL,NX1,Broadcom,5906_A0,
CTRL,NX1,Broadcom,5906_A1,
CTRL,NX1,Broadcom,5906_A2,
CTRL,NX1,Broadcom,BLANK,
CTRL,NX1,Broadcom,N/A,
SOC,IPROCSW,Broadcom,2000_A1,
SOC,IPROCSW,Broadcom,3200_B0,
SOC,IPROCSW,Broadcom,53001_A0,
SOC,IPROCSW,Broadcom,53003_A0,
SOC,IPROCSW,Broadcom,53010_A0,
SOC,IPROCSW,Broadcom,53010_A1,
SOC,IPROCSW,Broadcom,53011_A0,
SOC,IPROCSW,Broadcom,53012_A0,
SOC,IPROCSW,Broadcom,53012_A1,
SOC,IPROCSW,Broadcom,53012_A2,
SOC,IPROCSW,Broadcom,53017_A0,
SOC,IPROCSW,Broadcom,53018_A0,
SOC,IPROCSW,Broadcom,53022_A0,
SOC,IPROCSW,Broadcom,53025_A0,
SOC,IPROCSW,Broadcom,53084_A0,
SOC,IPROCSW,Broadcom,53125_A0,
SOC,IPROCSW,Broadcom,53125_B0,
SOC,IPROCSW,Broadcom,53344_A0,
SOC,IPROCSW,Broadcom,53346_A0,
SOC,IPROCSW,Broadcom,53400_A0,
SOC,IPROCSW,Broadcom,53403_A0,
SOC,IPROCSW,Broadcom,5389_A0,
SOC,IPROCSW,Broadcom,5398_A0,
SOC,IPROCSW,Broadcom,56060,
SOC,IPROCSW,Broadcom,56150_A0,
SOC,IPROCSW,Broadcom,56151_A0,
SOC,IPROCSW,Broadcom,56340_A0,
SOC,IPROCSW,Broadcom,56344_A0,
SOC,IPROCSW,Broadcom,56450_A0,
SOC,IPROCSW,Broadcom,56504_A0,
SOC,IPROCSW,Broadcom,56540_A0,
SOC,IPROCSW,Broadcom,56547_A0,
SOC,IPROCSW,Broadcom,56548_A0,
SOC,IPROCSW,Broadcom,56580_A0,
SOC,IPROCSW,Broadcom,56830_A0,
SOC,IPROCSW,Broadcom,5695_B0,
SOC,IPROCSW,Broadcom,5880_A0,
SOC,IPROCSW,Broadcom,5880_B0,
SOC,IPROCSW,Broadcom,5892_C0,
SOC,IPROCSW,Broadcom,88030_A0,
SOC,IPROCSW,Broadcom,89500_A0,
SOC,IPROCSW,Broadcom,ALL,
SOC,IPROCSW,Broadcom,BLANK,
SOC,IPROCSW,Broadcom,Lynx,
SOC,IPROCSW,Broadcom,Lynx1.5,
SOC,IPROCSW,Broadcom,NA,
SOC,POS,Broadcom,5892,
SOC,POS,Broadcom,BLANK,
AVB,AVB,Broadcom,89500_B0,
WLAN,ESDK,Broadcom,NA,
WLAN,ESDK,Broadcom,ALL,
CBT,Movies,Broadcom,5901_A3,
CBT,Movies,Broadcom,5903M_C2,
CBT,Movies,Broadcom,5906_A0,
CBT,Movies,Broadcom,5906_A1,
CBT,Movies,Broadcom,5906_A2,
CBT,Movies,Broadcom,5906M,
CBT,Movies,Broadcom,5906M_A0,
CBT,Movies,Broadcom,5906M_A1,
CBT,Movies,Broadcom,5906M_A2,
CBT,Movies,Broadcom,5906M_B0,
CBT,Movies,Broadcom,ALL,
CBT,Movies,Broadcom,NA,
CBT,Movies,Bruce Willis,ALL,
CBT,Movies,Bruce Willis,Bonnie Bedelia,
CBT,Movies,Bruce Willis,Jeremy Irons,
CBT,Movies,Bruce Willis,NA,
